review_id,order_id,review_score,review_date
164208,164208,5.0,2022-05-20
238824,238824,5.0,2023-01-16
706889,706889,4.0,2023-06-21
699515,699515,4.0,2023-03-27
814223,814223,3.0,2022-12-28
341992,341992,2.0,2022-06-14
308443,308443,5.0,2022-08-05
278474,278474,4.0,2023-06-10
39994,39994,3.0,2023-07-09
15885,15885,5.0,2023-03-15
1152,1152,3.0,2022-12-14
11694,11694,2.0,2023-03-19
22443,22443,4.0,2022-11-29
53694,53694,4.0,2023-05-30
23022,23022,3.0,2022-10-10
57519,57519,3.0,2023-04-20
55409,55409,3.0,2023-01-29
7176,7176,3.0,2023-09-11
5024,5024,4.0,2023-10-07
6149,6149,3.0,2023-05-09
13338,13338,5.0,2023-07-24
30915,30915,4.0,2023-03-26
32365,32365,5.0,2023-07-15
68459,68459,2.0,2022-01-29
29262,29262,4.0,2023-09-04
48520,48520,1.0,2023-08-29
38634,38634,3.0,2022-04-14
68999,68999,1.0,2023-03-20
20322,20322,4.0,2022-06-12
40327,40327,3.0,2022-06-25
8367,8367,1.0,2023-05-06
31662,31662,5.0,2022-09-16
50934,50934,2.0,2022-06-17
10002,10002,3.0,2023-07-10
7786,7786,3.0,2023-10-30
54798,54798,3.0,2023-06-27
29314,29314,1.0,2023-07-12
98262,98262,1.0,2023-09-11
39335,39335,1.0,2023-11-22
26446,26446,3.0,2022-07-15
20077,20077,3.0,2023-08-23
80946,80946,4.0,2022-10-16
67552,67552,1.0,2023-05-26
41922,41922,5.0,2023-11-20
24401,24401,5.0,2023-01-17
48768,48768,1.0,2022-11-09
91091,91091,5.0,2022-05-01
66699,66699,4.0,2023-08-17
6907,6907,1.0,2022-10-09
58511,58511,3.0,2022-01-23
70340,70340,5.0,2022-02-20
46571,46571,4.0,2023-03-26
86252,86252,3.0,2023-04-16
479,479,5.0,2023-10-13
70980,70980,3.0,2022-10-01
67908,67908,4.0,2023-07-20
95651,95651,3.0,2023-12-02
20085,20085,4.0,2023-09-08
18631,18631,1.0,2022-03-19
71514,71514,2.0,2022-04-24
47866,47866,3.0,2022-02-10
18966,18966,4.0,2022-06-22
47955,47955,2.0,2022-11-06
46852,46852,3.0,2022-04-25
32770,32770,2.0,2022-12-11
3053,3053,1.0,2022-12-08
56955,56955,3.0,2023-06-06
101115,101115,2.0,2022-03-21
14142,14142,2.0,2023-08-16
99799,99799,2.0,2023-04-09
42277,42277,1.0,2023-01-31
21356,21356,5.0,2022-01-13
10103,10103,1.0,2022-10-04
4039,4039,3.0,2022-10-23
12662,12662,4.0,2023-04-07
85811,85811,1.0,2023-05-15
85346,85346,5.0,2022-03-28
81210,81210,3.0,2023-02-13
61596,61596,1.0,2023-03-21
92903,92903,1.0,2022-05-25
11102,11102,3.0,2023-03-02
8999,8999,4.0,2023-05-12
98842,98842,3.0,2023-03-31
63734,63734,3.0,2023-04-09
68529,68529,5.0,2022-11-09
72933,72933,2.0,2023-10-03
55661,55661,1.0,2023-05-28
92143,92143,3.0,2023-07-13
84735,84735,5.0,2022-05-21
58891,58891,5.0,2022-03-25
52572,52572,2.0,2022-03-20
80278,80278,3.0,2023-09-17
63409,63409,3.0,2022-10-18
71166,71166,5.0,2023-10-26
78906,78906,1.0,2022-03-26
11693,11693,1.0,2022-06-21
89516,89516,3.0,2023-01-30
27356,27356,2.0,2022-01-21
6192,6192,3.0,2022-03-01
76242,76242,3.0,2022-09-17
